TargetID,Redrock spectype,Redrock z,VI z,VI spectype,vi_combined_flag,vi_diff,VI issue
35185724529576335,GALAXY,0.269,0.2692,GALAXY,4.0,0,--
35185724529576430,GALAXY,0.415,0.4154,GALAXY,4.0,0,--
35185724529576666,GALAXY,0.21600000000000005,0.2156,GALAXY,4.0,0,--
35185724529577092,GALAXY,0.269,0.2690,GALAXY,-1.0,0,--
35185724529577162,STAR,0.0,0.0,STAR,4.0,0,--
35185724529577362,GALAXY,0.081,0.0814,GALAXY,4.0,0,--
35185724529577429,GALAXY,0.274,0.2739,GALAXY,4.0,0,--
35185724529577662,GALAXY,0.177,0.1768,GALAXY,4.0,0,--
35185724529577802,GALAXY,1.166,--,--,0.0,0,S
35185724529578161,GALAXY,0.021,0.0205,GALAXY,4.0,0,--
35185724529578398,GALAXY,0.036000000000000004,0.0355,GALAXY,4.0,0,--
35185724529578426,GALAXY,0.254,0.2537,GALAXY,4.0,0,--
35185724533768383,STAR,-0.0,0.0,STAR,4.0,0,--
35185724533768387,GALAXY,0.361,0.3612,GALAXY,4.0,0,--
35185724533768441,GALAXY,1.368,--,--,0.0,0,S
35185724533768677,GALAXY,0.386,0.3864,GALAXY,4.0,0,--
35185724533769061,GALAXY,0.4370000000000001,0.4372,GALAXY,4.0,0,--
35185724533769277,GALAXY,1.4409999999999998,--,--,0.0,0,S
35185724533769370,GALAXY,0.362,0.3618,GALAXY,4.0,0,--
35185724533769529,GALAXY,0.228,0.2284,GALAXY,4.0,0,--
35185724533769702,GALAXY,0.28800000000000003,0.2883,GALAXY,4.0,0,--
35185724533769882,GALAXY,0.405,0.4055,GALAXY,4.0,0,--
35185724533769973,GALAXY,0.5670000000000001,0.5671,GALAXY,4.0,0,--
35185724533770243,GALAXY,0.265,0.2654,GALAXY,4.0,0,--
35185724533770443,GALAXY,0.264,0.2641,GALAXY,4.0,0,--
35185724533770741,GALAXY,0.265,0.2648,GALAXY,4.0,0,--
35185724533770778,GALAXY,0.328,0.3276,--,4.0,0,--
35185724533771100,GALAXY,0.268,0.2681,GALAXY,4.0,0,--
35185724533771178,GALAXY,0.266,0.2661,GALAXY,4.0,0,--
35185724533771217,GALAXY,0.269,0.2695,GALAXY,3.0,0,--
35185724533771282,GALAXY,0.328,0.3277,GALAXY,4.0,0,--
